iter	Logloss
0	0.6729686515
1	0.6539825414
2	0.6378749326
3	0.6226037773
4	0.6099677647
5	0.5985139228
6	0.588099663
7	0.5789873227
8	0.5703691381
9	0.5629820935
10	0.5555474447
11	0.5490135719
12	0.5426933854
13	0.5375252767
14	0.5325824026
15	0.5284400446
16	0.523871123
17	0.519836032
18	0.5163850972
19	0.5131948073
20	0.5101176348
21	0.5074448185
22	0.5040655496
23	0.5019933852
24	0.4996170951
25	0.497325638
26	0.4954957503
27	0.4935676499
28	0.4912723422
29	0.4898958426
30	0.4880480834
31	0.486728887
32	0.4854148564
33	0.4837990009
34	0.482609962
35	0.4816419518
36	0.4807025087
37	0.4793823843
38	0.4783585006
39	0.477696014
40	0.4765979148
41	0.4757601311
42	0.474787542
43	0.4741371779
44	0.4732694213
45	0.4724470462
46	0.4715781312
47	0.4709271987
48	0.4705042987
49	0.469923056
50	0.4693700047
51	0.4688027006
52	0.468284543
53	0.4677003238
54	0.4673639682
55	0.4667535525
56	0.4663086185
57	0.4659302637
58	0.4655605958
59	0.4651690775
60	0.4647735888
61	0.4645299015
62	0.4641180622
63	0.4637904232
64	0.4635051194
65	0.4632633663
66	0.4629346288
67	0.4623584293
68	0.4620919266
69	0.4617781505
70	0.4612943425
71	0.4610133612
72	0.4607298687
73	0.4604778427
74	0.4602306648
75	0.4599988467
76	0.4597929985
77	0.4595526408
78	0.4593241164
79	0.4587712985
80	0.4585814867
81	0.4584000695
82	0.4581845847
83	0.4579335257
84	0.4577664239
85	0.4576117189
86	0.4574729375
87	0.4572434159
88	0.4570395787
89	0.45687609
90	0.456633563
91	0.4563777255
92	0.4562558206
93	0.4560612842
94	0.4559630899
95	0.4557867138
96	0.4556178528
97	0.4555390491
98	0.4553815548
99	0.4552430207
100	0.4550827609
101	0.4549284418
102	0.4547441065
103	0.454656286
104	0.454570845
105	0.4543591256
106	0.4542321723
107	0.4540687407
108	0.4539518963
109	0.4536801042
110	0.4536601283
111	0.4535496633
112	0.4533739845
113	0.4532330221
114	0.4531285462
115	0.4529728332
116	0.452858034
117	0.4527189195
118	0.4526223472
119	0.4525165086
120	0.4523838927
121	0.4522667372
122	0.4521387141
123	0.4520165899
124	0.4518628865
125	0.4517112121
126	0.4515004311
127	0.451328855
128	0.4512106094
129	0.4511001854
130	0.4509721702
131	0.4508814185
132	0.4508258933
133	0.4507397465
134	0.4505845107
135	0.4504424018
136	0.4503199731
137	0.4502553248
138	0.4500824608
139	0.4499923554
140	0.4498440263
141	0.4494875383
142	0.4492739099
143	0.4491930663
144	0.449123356
145	0.4490097552
146	0.4489294087
147	0.4488065626
148	0.448693394
149	0.4485749718
150	0.4484885169
151	0.4482986951
152	0.4482333684
153	0.4481250097
154	0.448037771
155	0.4479193537
156	0.4477993868
157	0.4477115785
158	0.4475958453
159	0.4474911184
160	0.4473714127
161	0.4470777333
162	0.4469585907
163	0.4467805871
164	0.44661749
165	0.4465478842
166	0.4464335716
167	0.4463648757
168	0.4463138222
169	0.4462093584
170	0.4461274339
171	0.4459300211
172	0.4458706861
173	0.4458084213
174	0.4456946092
175	0.4455966904
176	0.4455558621
177	0.4454601596
178	0.4454033289
179	0.4453064718
180	0.4452380412
181	0.4451475688
182	0.4450717836
183	0.444978348
184	0.4449164932
185	0.4448469412
186	0.4447643633
187	0.444535113
188	0.4443834602
189	0.4442735534
190	0.4441995819
191	0.4440860798
192	0.4438232644
193	0.4437756777
194	0.4434581633
195	0.4433746828
196	0.4432802303
197	0.4431931249
198	0.4431117052
199	0.4430307545
200	0.4429250084
201	0.4428412172
202	0.4427519721
203	0.4426642451
204	0.4425867463
205	0.4425228868
206	0.4424377316
207	0.4423762372
208	0.4421503306
209	0.4420847599
210	0.4419366802
211	0.4417528129
212	0.4417091462
213	0.4416232161
214	0.441564794
215	0.4414466537
216	0.4413744176
217	0.4412749696
218	0.4411948916
219	0.4409909326
220	0.4409277345
221	0.4407512815
222	0.4406915199
223	0.4405498214
224	0.4404410765
225	0.4403303695
226	0.4402434845
227	0.4401020164
228	0.4400337343
229	0.4397792601
230	0.439588604
231	0.4395245735
232	0.439368904
233	0.4392812451
234	0.4392146781
235	0.4391344623
236	0.4389765771
237	0.4389122978
238	0.4388412766
239	0.4387333417
240	0.438671144
241	0.4385606326
242	0.4384699074
243	0.4384014047
244	0.4383527866
245	0.4381218606
246	0.4380501439
247	0.4379247871
248	0.4378630764
249	0.4378107747
250	0.4377437392
251	0.4376483244
252	0.4375767801
253	0.4374776153
254	0.4374292218
255	0.4373271219
256	0.4372292468
257	0.4371002732
258	0.4369420581
259	0.4368722508
260	0.4367831888
261	0.4366855885
262	0.4365985057
263	0.4365288842
264	0.436440976
265	0.4363467421
266	0.4362855688
267	0.436157383
268	0.43605589
269	0.4359549065
270	0.4358307269
271	0.4357241744
272	0.43563662
273	0.4355279067
274	0.4354639968
275	0.4353862625
276	0.4353235374
277	0.4352240039
278	0.4351784361
